ID Surgeon ID_Speciality Speciality Tmaxd Tmaxw
1 Doctor-01 6 Urgency 240 1200
2 Doctor-02 6 Urgency 240 1200
3 Doctor-03 6 Urgency 240 1200
4 Doctor-04 2 Ginecology 240 1200
5 Doctor-05 2 Ginecology 240 1200
6 Doctor-06 2 Ginecology 240 1200
7 Doctor-07 3 Ophthalmology 240 1200
8 Doctor-08 3 Ophthalmology 240 1200
9 Doctor-09 3 Ophthalmology 240 1200
10 Doctor-10 3 Ophthalmology 240 1200
11 Doctor-11 4 Vascular 240 1200
12 Doctor-12 4 Vascular 240 1200
13 Doctor-13 1 "General Surgery" 240 1200
14 Doctor-14 1 "General Surgery" 240 1200
15 Doctor-15 1 "General Surgery" 240 1200
16 Doctor-16 1 "General Surgery" 240 1200
17 Doctor-17 5 Orthopedy 240 1200
18 Doctor-18 5 Orthopedy 240 1200
19 Doctor-19 7 Urology 240 1200
20 Doctor-20 7 Urology 240 1200
21 Doctor-21 7 Urology 240 1200
22 Doctor-22 7 Urology 240 1200
23 Doctor-23 8 Plastic 240 1200
24 Doctor-24 8 Plastic 240 1200
25 Doctor-25 8 Plastic 240 1200
26 Doctor-26 9 Neurology 240 1200
27 Doctor-27 9 Neurology 240 1200
28 Doctor-28 9 Neurology 240 1200
